#id arrival runtime priority
1	5	6	0
2	12	16	3
3	18	19	10
4	24	7	1
5	33	11	9
6	38	5	4
7	41	13	6
8	42	2	0
9	42	29	3
10	47	23	7
11	47	23	0
12	56	26	1
13	66	25	0
14	73	16	10
15	81	11	0
16	88	4	10
17	97	19	6
18	99	2	3
19	101	5	5
20	107	1	4
21	107	22	8
22	107	6	6
23	107	23	8
24	116	12	5
25	124	23	0
26	131	20	0
27	137	9	1
28	147	17	2
29	150	29	3
30	156	8	7
31	156	25	0
32	164	10	1
33	165	18	2
34	174	22	10
35	177	20	2
36	178	17	2
37	188	26	6
38	197	7	4
39	197	5	2
40	200	3	4
41	210	17	6
42	219	26	8
43	227	2	9
44	235	8	8
45	242	6	2
46	250	19	4
47	258	1	9
48	261	18	3
49	266	27	0
50	273	11	2
51	273	29	3
52	277	7	0
53	279	11	6
54	288	17	0
55	294	9	5
56	300	9	10
57	310	50	2
58	319	13	4
59	329	15	7
60	338	25	9
61	347	7	8
62	348	14	6
63	358	20	1
64	364	5	2
65	370	21	9
66	379	21	2
67	387	21	3
68	387	3	8
69	391	12	7
70	400	6	0
71	405	27	3
72	408	2	0
73	417	25	9
74	425	23	2
75	435	19	0
76	442	21	5
77	451	4	10
78	453	6	8
79	463	29	6
80	467	20	2
81	471	2	7
82	479	6	1
83	487	1	3
84	491	6	2
85	497	23	5
86	502	10	4
87	512	28	1
88	519	10	7
89	524	11	7
90	533	24	3
91	534	7	4
92	540	10	9
93	545	26	0
94	553	21	0
95	561	10	8
96	561	13	1
97	566	13	1
98	570	11	6
99	571	23	7
100	577	1	2
